time,ankle_angle_r,ankle_angle_l
11.1666667,10.34420546,-4.94173875
11.1833333,4.66153042,-4.43658645
11.2,2.20373853,-3.51866045
11.2166667,2.76721197,-2.25521573
11.2333333,5.35267427,-0.11668566
11.25,8.84916338,1.61059405
11.2666667,12.20898579,2.47099729
11.2833333,14.85020364,2.59754124
11.3,16.53682309,2.11754205
11.3166667,17.25955633,1.69623461
11.3333333,16.87007466,1.87857422
11.35,13.7450975,2.47353044
11.3666667,6.49539227,2.90448643
11.3833333,-2.27844171,2.58154467
11.4,-9.22340769,1.32479411
11.4166667,-15.02698992,0.0323589
11.4333333,-20.29869407,0.12290093
11.45,-24.81011777,1.79515111
11.4666667,-28.5985507,3.73139687
11.4833333,-30.96098338,4.6184299
11.5,-31.34473176,3.89794997
11.5166667,-32.00685169,2.22260097
11.5333333,-32.13636562,0.01896624
11.55,-32.1017925,-3.08708591
11.5666667,-31.44122072,-5.91846587
11.5833333,-29.5855027,-8.57994998
11.6,-27.01089278,-10.31715281
11.6166667,-24.61965239,-10.6433527
11.6333333,-22.71305007,-9.45655458
11.65,-21.10595621,-6.78073358
11.6666667,-19.84062587,-4.4679033
11.6833333,-18.92058746,-3.27472654
11.7,-19.57510154,-3.07905117
11.7166667,-21.03748062,-3.00487162
11.7333333,-22.76277129,-1.87413349
11.75,-24.25189555,1.03900343
11.7666667,-24.82474286,5.22248972
11.7833333,-24.86308551,8.71785012
11.8,-26.29213588,10.89473888
11.8166667,-29.98068236,10.87056776
11.8333333,-34.10227216,8.91560242
11.85,-36.33349123,4.59248412
11.8666667,-35.01800863,-0.00698559
11.8833333,-30.90026115,0.09112083
11.9,-25.82587134,-0.97941953
11.9166667,-20.18650856,-4.06236788
11.9333333,-16.01681783,-4.84954349
11.95,-13.99298487,-6.0859495
11.9666667,-12.88347797,-8.1777269
11.9833333,-11.63931609,-9.53373874
12.0,-10.17728762,-7.91986449
12.0166667,-9.43417606,-6.72499366
12.0333333,-9.18543614,-7.03484997
12.05,-8.98556268,-9.06558577
12.0666667,-8.62156823,-11.32984256
12.0833333,-8.24908464,-13.15268691
12.1,-8.56162334,-14.33073883
12.1166667,-9.05701405,-15.71651905
12.1333333,-9.92589986,-16.69788344
12.15,-10.93869348,-17.17208446
12.1666667,-12.24514054,-17.47397663
12.1833333,-13.40098504,-17.69107717
12.2,-14.66797508,-17.9122612
12.2166667,-15.69219665,-18.13284136
